Rank,TZ,DAIO,Yr,mvts
Base,Azerbaijan,AD,2016,41854
Base,Azerbaijan,AD,2017,47902
Base,Azerbaijan,AD,2018,49703
Base,Azerbaijan,AD,2019,50608
Base,Azerbaijan,AD,2020,23150
Base,Azerbaijan,AD,2021,29486
Base,Azerbaijan,AD,2022,48028
Base,Azerbaijan,AD,2023,55000.75193
Base,Azerbaijan,AD,2024,60136.63669
Base,Azerbaijan,AD,2025,62122.40831
Base,Azerbaijan,AD,2026,64033.90847
Base,Azerbaijan,AD,2027,65940.776
Base,Azerbaijan,AD,2028,68050.95393
Base,Azerbaijan,AD,2029,69893.25748
Base,Azerbaijan,TAD,2005,10736
Base,Azerbaijan,TAD,2006,28358
Base,Azerbaijan,TAD,2007,30237
Base,Azerbaijan,TAD,2008,34046
Base,Azerbaijan,TAD,2009,32201
Base,Azerbaijan,TAD,2010,37462
Base,Azerbaijan,TAD,2011,41104
Base,Azerbaijan,TAD,2012,42263
Base,Azerbaijan,TAD,2013,43713
Base,Azerbaijan,TAD,2014,43947
Base,Azerbaijan,TAD,2015,40614
Base,Azerbaijan,TAD,2016,41854
Base,Azerbaijan,TAD,2017,47902
Base,Azerbaijan,TAD,2018,49703
Base,Azerbaijan,TAD,2019,50608
Base,Azerbaijan,TAD,2020,23150
Base,Azerbaijan,TAD,2021,29486
Base,Azerbaijan,TAD,2022,48028
Base,Azerbaijan,TAD,2023,55000.75193
Base,Azerbaijan,TAD,2024,60136.63669
Base,Azerbaijan,TAD,2025,62122.40831
Base,Azerbaijan,TAD,2026,64033.90847
Base,Azerbaijan,TAD,2027,65940.776
Base,Azerbaijan,TAD,2028,68050.95393
Base,Azerbaijan,TAD,2029,69893.25748
Base,Azerbaijan,O,2005,44368
Base,Azerbaijan,O,2006,54378
Base,Azerbaijan,O,2007,59666
Base,Azerbaijan,O,2008,69126
Base,Azerbaijan,O,2009,71428
Base,Azerbaijan,O,2010,79784
Base,Azerbaijan,O,2011,77882
Base,Azerbaijan,O,2012,83001
Base,Azerbaijan,O,2013,80515
Base,Azerbaijan,O,2014,77430
Base,Azerbaijan,O,2015,82758
Base,Azerbaijan,O,2016,86967
Base,Azerbaijan,O,2017,88108
Base,Azerbaijan,O,2018,96618
Base,Azerbaijan,O,2019,87203
Base,Azerbaijan,O,2020,43832
Base,Azerbaijan,O,2021,47107
Base,Azerbaijan,O,2022,116421
Base,Azerbaijan,O,2023,147051.5182
Base,Azerbaijan,O,2024,165010.3571
Base,Azerbaijan,O,2025,168486.9857
Base,Azerbaijan,O,2026,172034.0515
Base,Azerbaijan,O,2027,175574.9532
Base,Azerbaijan,O,2028,179434.9742
Base,Azerbaijan,O,2029,182492.9543
Base,Azerbaijan,TO,2005,44368
Base,Azerbaijan,TO,2006,54378
Base,Azerbaijan,TO,2007,59666
Base,Azerbaijan,TO,2008,69126
Base,Azerbaijan,TO,2009,71428
Base,Azerbaijan,TO,2010,79784
Base,Azerbaijan,TO,2011,77882
Base,Azerbaijan,TO,2012,83001
Base,Azerbaijan,TO,2013,80515
Base,Azerbaijan,TO,2014,77430
Base,Azerbaijan,TO,2015,82758
Base,Azerbaijan,TO,2016,86967
Base,Azerbaijan,TO,2017,88108
Base,Azerbaijan,TO,2018,96618
